Id,dominant_topic,topic_prob
34243,7,0.27500015963124497
34328,1,0.4360777921584269
34439,0,0.36666666325412245
34916,0,0.1
35538,6,0.2750000751436061
35569,2,0.2750000081687508
35634,7,0.5499999999851268
35753,0,0.2750000076514823
35805,6,0.2750002848724189
35817,5,0.5249753865254881
35948,7,0.5249999694096721
35988,0,0.3666666925937575
36139,9,0.5499999999964769
36324,7,0.27500004655487176
36806,7,0.36666666146113813
36812,3,0.6999703406407183
36901,4,0.6999999999986118
36932,0,0.5499999999972333
36953,7,0.3666670872983085
37142,1,0.5249977192554107
37479,6,0.6999666192011815
37486,3,0.5499934993942596
37535,8,0.5250000024475828
38238,4,0.5250001109416774
38435,8,0.406679738803619
38508,3,0.2750000086495902
38601,9,0.45169005617513247
38987,1,0.49667568979081245
39086,5,0.5249999997606393
39104,0,0.5250000544283743
39663,4,0.27499999997846114
39847,0,0.2750000247389597
39929,9,0.2750001498436772
39960,5,0.5249999945926371
40586,0,0.6999978411629963
40705,1,0.5249832884576355
41547,0,0.5249532222320087
41562,7,0.3666666331169742
41701,2,0.5249769146285047
41969,8,0.5249999927915808
42034,8,0.6999999999968928
42482,0,0.5249999952969743
42581,7,0.5249986408975075
42950,9,0.5249963739125985
43099,0,0.27500000806142105
43290,1,0.5250000138426517
43315,9,0.5249925509626046
43368,2,0.3666666886480844
43580,7,0.5249986524649679
43709,8,0.40667969644357277
43775,6,0.5249762428934449
44084,2,0.3666668195464853
44352,8,0.7749999999982203
44778,2,0.6999717195987791
44834,7,0.2750000721177451
45013,7,0.5499999999952107
45122,6,0.343084086884791
45228,0,0.27500005636012237
45500,2,0.2750000653132196
45507,6,0.27500001145131203
45540,7,0.3666666667833119
45954,0,0.36666666958346017
47198,5,0.5249754523205675
47207,2,0.5499999999984496
47253,0,0.5499999999972333
47701,2,0.5249592483614017
47789,8,0.699999999982592
47801,9,0.7749934599287912
47953,8,0.5249826911425312
48123,8,0.5249668844977098
48176,7,0.3666667201120541
48458,5,0.3666667434030399
48562,3,0.27500069565755486
48777,9,0.48698708421798664
49137,3,0.5250000044880608
49164,0,0.1
49307,3,0.4190344062647416
49455,0,0.5499378145931342
49824,2,0.5499926247933811
49926,4,0.6999515123474119
50394,6,0.36666666471286474
50499,2,0.524976975108432
50568,6,0.2750000492483386
50923,7,0.6999999999788653
51010,1,0.5249953270391058
51212,0,0.5250000479786625
51233,5,0.7749854070898456
51412,7,0.6999981973711472
51502,8,0.2750004244096466
51520,8,0.27500010793041185
51553,3,0.27500003365317566
51658,3,0.36666666728396347
53027,2,0.7749823430404753
53162,2,0.5249769532299841
53225,8,0.2750001846912108
53513,6,0.5249882602025935
53543,0,0.5250000007271101
53786,8,0.5249582750899277
53997,2,0.5249592871703016
54867,9,0.5499817756225399
55180,5,0.3666667267967925
55365,5,0.5249756013752838
55391,2,0.5249999690452067
56229,6,0.275000039693353
56417,5,0.5249757183185737
56820,8,0.5250005334144792
57708,4,0.5249637504342508
58119,4,0.36666667017588755
58294,0,0.5249983702359314
58622,4,0.6999797750092203
58711,4,0.3666667845900727
59648,0,0.2750000762992586
59825,2,0.27500001484635495
60152,1,0.6999424279952915
60208,0,0.5250000001664243
60352,2,0.5250000650677676
60446,5,0.5250001029574823
60649,6,0.27500031973496863
